Category,Short Form,Regex,Full Form (English),Related,Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
1.12.2_magic,,,Async Observer,,1.12.2,,,异步侦测器链,,,,,,,,,,,,,,,,Observer Asíncrono,
1.12.2_magic,,,Blockstate palettes,,1.12.2,,,方块状态调色板,,,,,,,,,,,,,,,,Paletas de Blockstates,
1.12.2_magic,,,Chunk Manipulation,,,,,区块操作*,,,,,,,,,,,,,,,,Manipulación de Chunks,
1.12.2_magic,,,Chunk Population,,1.12.2,,,区块装饰,,,,,,,,,,,,,,,,Populación de Chunks,
1.12.2_magic,,,Chunk Swap,,1.12.2,,,区块替换,,,,,,,,,,,,,,,,Chunk Swap,
1.12.2_magic,,,Cluster,,1.12.2,,,区块集群,,,,,,,,,,,,,,,,Cluster,
1.12.2_magic,,,Falling Swap,,1.12.2,,,落沙替换,,,,,,,,,,,,,,,,Falling swap,
1.12.2_magic,,,Instant falling,,1.12.2,,,瞬时下落,1.12中存在的游戏规则，其使任何重力方块跳过坠落过程直接出现于坠落的目标位置。,,,,,,,,,,,,,,,Instant Fall (Caída instantánea de bloques),
1.12.2_magic,ITT,,Instant Scheduling (aka Instant Tile Tick),,1.12.2,,,瞬时计划刻,1.12中存在的游戏规则，其使得任何计划刻无视延迟立即执行。,,,,,,,,,,,,,,,Instant Scheduling (Scheduling instantáneo),
1.12.2_magic,ITT,,Instant Tile Tick (aka Instant Scheduling),,1.12.2,,,瞬时计划刻,1.12中存在的游戏规则，其使得任何计划刻无视延迟立即执行。,,,,,,,,,,,,,,,Instant Tile Tick (Tile ticks instantáneos),
1.12.2_magic,,,Synchronized method,,1.12.2,,,同步锁方法,,,,,,,,,,,,,,,,Método `synchronized`,
1.12.2_magic,,,Word Tear,,1.12.2,,,字撕裂,,,,,,,,,,,,,,,,Word tear,
coding,AABB,,Axis Aligned Bounding Box,,,,,（实体的）碰撞箱/边界箱,轴对齐边界框，一种常用于 计算机图形学 和 碰撞检测 中的简单边界框。 它们的特点是其边缘与坐标轴平行。（常指实体或方块的碰撞箱，用于检测碰撞和交互。）,,,,,,,,,,,,,,,Bounding Box Alineada en los Ejes,
coding,,,Bounding Box (aka Axis Aligned Bounding Box),,,,,（实体的）碰撞箱/边界箱,轴对齐边界框。指实体或方块的碰撞箱。,,,,,,,,,,,,,,,Bounding Box Alineada en los Ejes,
coding,BFS,,Breadth First Search,,,,,广度/宽度优先搜索,一种搜索算法，从起始节点开始，逐层扩展，先访问离起始节点最近的节点，后访问离起始节点稍远的节点。以此类推，直到完成整个搜索过程。,,,,,,,,,,,,,,,Búsqueda en Anchura,
coding,CCE ,,ClassCastException ,,,,,类型转换异常  ,是Java的一个运行时异常，当一个对象的类型被强制转换到一个它不符合的类型的时被抛出。可以通过方块实体替换抛出CCE实现强转更新抑制。,,,,,,,,,,,,,,,,
coding,CME,,ConcurrentModificationException,,,,,并发修改异常,Java 中的一个运行时异常，通常在对集合进行迭代的过程中修改了集合结构时（例如，增删元素）抛出,,,,,,,,,,,,,,,ConcurrentModificationException (error de java),
coding,,,Congruential Generator,,,,,同余生成器,,,,,,,,,,,,,,,,Generador Congruencial,
coding,DFS,,Depth-First Search,,,,,深度优先搜索,一种用于遍历或搜索的算法，其尽可能深入地访问每个节点，直到无法继续为止，然后回溯到之前的节点层继续遍历。,,,,,,,,,,,,,,,Búsqueda Depth-First,
coding,DP,,Dynamic Programming,,,,,动态规划,,,,,,,,,,,,,,,,Programación Dinámica,
coding,,,Hash,,,,,哈希,一种将任意大小数据映射至固定大小的输出（哈希值）的技术。,,,,,,,,,,,,,,,Hash,
coding,,,Hitbox (aka Axis Aligned Bounding Box),,,,,（实体的）碰撞箱/边界箱,,,,,,,,,,,,,,,,Hitbox,
coding,IAE ,,IllegalArgumentException ,,,,,非法参数异常 ,,,,,,,,,,,,,,,,,
coding,MCP,,Mod Coder Pack,,,,,MCP,模组开发提供便利，反混淆的工具。,,,,,,,,,,,,,,,Mod Coder Pack,
coding,,,Noise Map,,,,,噪声图,,,,,,,,,,,,,,,,Mapa de Ruido,
coding,,,Operation Stack,,,,,操作栈,,,,,,,,,,,,,,,,Stack de Operaciones,
coding,OOM ,,OutOfMemoryError ,,,,,内存溢出错误,,,,,,,,,,,,,,,,,
coding,,,Perlin Noise,,,,,柏林噪声,,,,,,,,,,,,,,,,Ruido de Perlin,
coding,,,Queue,,,,,队列,一系列等待被执行的事件。,,,,,,,,,,,,,,,Lista de espera,
coding,RNG,,Random Number Generation,,"Every randomized action in the game is based on a single pseudo random number generator. The generator has a reset function and a ""forward function"", which is called whenever a random number is required.",,,随机数生成,游戏内的随机事件均由一个随机数生成器。该生成器可被重置，或者返回下一个随机数值。,,,,,,,,,,,,,,,,
coding,,,RNG Manipulation,,Manipulate the chance of a random event happening.,,,随机数操控*,通过特殊逆向方法破解随机数生成器后，更具其规则，有意地进行某些行为以操控该随机数生成器的下一个结果。,,,,,,,,,,,,,,,Manipulación de RNG,
coding,,,Stack,,,,,栈,,,,,,,,,,,,,,,,Stack,
coding,SOE ,,StackOverflowError ,,,,,栈溢出异常 ,,,,,,,,,,,,,,,,,
coding,UI,,User Interface,,"The part of a contraption or system that the end user interacts with, regardless of the inner workings of the system.",,,用户面板,,,,,,,,,,,,,,,,Interfaz de Usuario,
computational,,,(Shulker Box) Disk Driver,,,,,盒子硬盘,,,,,,,,,,,,,,,,(Shulker Box) Disk Driver,
computational,,,AND-Gate,,,,,与门,与门。一种逻辑电路，输出仅在所有输入均为真时为真。,,,,,,,,,,,,,,,Puerta AND,
computational,,,Decoder,,"In computational redstone, it's sometimes used to mean increasing the size of a base, bin to hex, for example, see Transcoder.",,,解码器,在计算红石中，有时指增大编码基数，例如从二进制（bin）转换为十六进制（hex），参见转码器（Transcoder）。,,,,,,,,,,,,,,,Decodificador,
computational,,,Encoder,,"In computational redstone, this sometimes refers to decreasing the size of the base used in the code: for example hex to bin. see Transcoder.",,,编码器,,,,,,,,,,,,,,,,Codificador,
computational,,,Fifo (aka Shift Register),,,,,移位寄存器,,,,,,,,,,,,,,,,Registro de Desplazamiento,
computational,,,Logical Gate,,,,,逻辑门,一种逻辑运算单元，在minecraft中，其有信号，无信号可以分别代表逻辑上个“真”搭“假”或二进制当中个1搭0，从而实现逻辑运算。,,,,,,,,,,,,,,,Puerta Lógica,
computational,,,Parallel Codes,,"A code is said to be parallel if the all the bits of the signal are sent through individual wires or lines This usually allows for faster and easier to use codes than Serial codes, but it tends to be more expensive and bigger.",,,并行码/并行信号,,,,,,,,,,,,,,,,Código en Paralelo,
computational,RAM,,Random-Access Memory,,,,,读写存储器,,,,,,,,,,,,,,,,Memoria de Acceso Aleatorio,
computational,ROM,,Read-Only Memory,,,,,只读存储器,,,,,,,,,,,,,,,,Memoria de solo lectura,
computational,,,Redcoder,,,,,红石信号解码器,,,,,,,,,,,,,,,,Redcoder,
computational,,,Serial Codes,,"A code is said to be serial if the bits of the signal are sent one after the other through a single wire. This is more space and resource efficient than Parallel codes, but usually slower and harder to implement.",,,串行码/并行信号,,,,,,,,,,,,,,,,Código Serial,
computational,,,Shift Register (aka Fifo),,,,,移位寄存器,,,,,,,,,,,,,,,,Registro de Desplazamiento,
computational,,,T Flip-Flop,,Short for Toggle Flip-Flop. Refers a circuit that changes its output state (toggles) when a pulse is received.,,,T触发器/T触,一个装置，受到一次脉冲时翻转自身状态。,,,,,,,,,,,,,,,T Flip-Flop,
computational,,,Toggle State,,"Usually used to refer to intentionally having sticky piston's drop its block by sending it a <3gt pulse in order to cycle between two different states (toggling between block in and out). Importantly, togglestates have no default position, and there is no way to reset them. This makes them painful to use in survival as they're hard to debug. This is different to latches, which are also systems that hold state. Latches usually have a reset signal that you can trigger when something goes wrong.",,,T触*,,,,,,,,,,,,,,,,Toggle State (Estados alternos),
computational,,,Transcoder,,"A device or contraption to convert between encodings of a signal: Binary to Hexadecimal, hex to octal, pulse length to binary, block event delay to overloaded comparator, etc.",,,转码器,,,,,,,,,,,,,,,,Transcodificador,
