topic,content
整流,整流是指不同种类物品分别按照漏斗速度实现并行输入，每类物品输入速度上限为漏斗速，不同种类物品之间可以并行输入，整流器就是实现这个过程的一个处理系统。英文对应 rectification，在中文TMC社群中指按类型并行的通用概念（每类型1x），而parallel unloading是一种具体实现方法。
车头,车头并不单指盒子类机器，它可以是任何机器。车头是指机器中物品输入部分的总称，它的作用是对输入的物品进行预处理使其能够适配后续处理流程，例如盒分类单片需要把key和取了key的盒子异步发往单片，则车头要做的就是取key等等。车头还包括堆分类车头、矿车类车头等，是一个广义的概念。车头不仅包括物品处理部分，很多时候也包括输入部分的主控线路。
实体分盒器,实体分盒器是一种特殊的自适应打包机，它是输入实体掉落物输出纯净盒，而不是传统分盒。
不可堆叠打包,不可堆叠打包接在不可堆叠分类的输出端，一般常用可访问打包和缓存打包这两种，因为这两种打包兼顾了打包和取散货的需求，用于替换大宗流程的打包机+盒分类+箱盒展示。不可堆叠打包一般是1wt的，这两种打包理论上不可能满速，所以需要对不可堆叠分类输入进行限速否则有溢出的风险。不可堆叠分类本身不会带有任何打包，需要额外添加。
大宗,Bulk=Bulk Storage，即大宗存储。全物品=Main Storage，并非主存储。
漏斗机制,漏斗在TE阶段先后执行5个主要操作：1.若CD时长非0则CD-1，若减后CD仍不为0则跳过后续。2.若漏斗物品栏不为空且输出端有可接受漏斗输入的容器则尝试输出1个物品。3.若漏斗上方有可接受漏斗输出的容器则尝试吸取1个物品。4.若漏斗上方无可接受漏斗输出的容器（1.21+还需上方方块无DOES_NOT_BLOCK_HOPPERS标签）。5.若2/3/4中至少成功1次则增加CD时长，一般加8gt，特殊情况下加7gt以保证时序一致。
漏斗哈希,漏斗哈希是一个抽象知识点。假设区块C中先后放下漏斗H1和H2（未卸载区块），则在区块C被卸载前每gt的TE阶段先执行H1再执行H2。当区块C重载后H1和H2的运算顺序由哈希算法（伪随机）确定，该顺序在区块卸载前保持不变直到下一次重载。
crain解码器,crain解码器通过红石粉与0/1侦测器的时差进行解码。如果码正确会有1gt窗口延迟熄灭底下铁轨被侦测器检测。码错误则铁轨常亮不被检测。dreams解码器是用了bud投掷器的crain魔改。floppy解码器是另一种独立方案。
BED,BED（方块事件延迟）并非是gt级的解码，而是在一个gt内不同的更新顺序的差异。BED绝对不是被用于crain/dreams/floppy或者其他16进制解码。
编码全物品类型,编码全物品的类型指处理流程和实现方式的区别而非编码元件。常见的有：传统二进制线编码全物品（多条水道一个线程）、矩阵编码全物品（传统编码拓展，每条水道一个线程）、高速编码流水线全物品（物品流与编码信号同步）、并行编码全物品（消除线程抑制，不同种类物品可同时段输入）。
打包机速度,打包机的速度是固定的，自适应除非是堆分，不然永远是单倍速，无法通过任何手段提升速度。更高倍速的理论上适应6倍速需求但无法手动降速。打包机的速度是定死的。
Accessible,可访问的
Accessible Loader,可交互打包机
Aligner,矫正器
Array,阵列
Based,基于
Binary(bin),二进制
Bit,位
Blocker,"填充物, 占位物"
Blockerless,"防填充物的, 防占位物的"
Block Event Delay(BED),方块事件深度
Block Update Detector(BUD),方块更新检测器
(Shulker) Box Comparer,盒子比对器
(Shulker) Box Detection,盒子扫描器
(Shulker) Box Display,潜影盒展示
(Shulker) Box Grouper,盒子分组器
(Shulker) Box Processor,潜影盒处理
(Shulker) Box Separator,盒子分离器
(Shulker) Box Sorter,潜影盒分类
Bufferless,无缓存
Bulk (Storage),大宗存储
Chest Hall,全物品单片
Comparator Update Detector(CUD)(同DUD/TEUD),比较器更新检测器
Crosstalk,串线
Cyclical(cyc),循环的
Decimal,十进制
Decoder,解码器
Deserializer,串行信号接收器
Directional,方向性
(Shulker Box) Disk Driver,盒子硬盘
Dropper Speed(HS; 1/2x; 1x; 2x),投掷器速
Dropperline,投掷器链
Dust Updateless,无红石粉能量变化;无粉(广义)
Dustless,无粉(狭义)
Dynamic,动态的
Encoded,编码的
Encoder,编码器
Fifo(同Shift Register),移位寄存器
Fill (level) Sorter,填充度分类器
Flitered,分类的
Filtered Loader,分类打包机
Fully Hopper Locked(FHL),全锁
Game Tick(gt),游戏刻(2gt = 1rt)
Global,全局的
Hexadecimal(Hex),十六进制
Hopper Speed(HS),单倍漏斗速
Hopper Locked,锁漏斗
HSS(同OSS),强模
Hybrid,复合的(缓存打包)
Item Call,物品呼叫
Item Wanker(同Keygen),潜影盒取样器
Keygen(同Wanker),物盒分离(潜影盒取样器)
Liquid Update Detector(LUD),流体更新检测器
Loader,打包机
Local,"局部的, 非全局的"
Locational,位置性
Main Storage(ms),全物品分类仓库
Merger,潜影盒合并器
Mixed,混杂的
Mixed Box,混杂盒
Multi Box Sorter(MBS),多种类潜影盒分类
Mixed Loader(同Hybrid Loader),混杂打包机
Multi Item Sorter(MIS),多物品分类
OSS(同HSS),强模
Pair Searcher,潜影盒配对器
Pair Optimizer,潜影盒最优配对器
Paraller Codes,并行码
PEIS,并行卸货阵列(整流器)
Peripheral,其他的
Pistonless,无活塞的
Precision,精密的
Precision Hopper,精密漏斗
Precision Loader,精密打包机
Pure Box,纯净盒
Quad Bulk,四边形大宗
Quasi Connectivity(QC),半连接性
RAM,读写存储器
Redstone Tick(rt),红石刻(1rt = 2gt)
Redcoder,红石信号解码器
Remote Bulk,远程访问大宗
ROM,只读存储器
Safe,安全的
Self Selected,自喷盒
Sequential,顺序的
Set Based,首位检测
Serial Codes,串行码
Serializer,串行信号发生器
Shift Register(同Fifo),移位寄存器
Silent,静音
Slice,单片
Slice Preservation(Local Output),单片输出
Smart,智能的
Smart (Shulker) Box Display,可反悔潜影盒展示
Smart (Shulker) Box Sorter,单片解锁潜影盒分类
Snow,细雪
Sorter,分类器
(Box) Splitter,分盒器
Singal Strength(SS),信号强度
SS_Sorter,潜影盒填充度分类
Stack Separator,堆分离
Stack Sorter,堆分类
Storage Input System(SIS),无实体输入系统
Svar,自适应潜影盒分类
Temp Storage,临时存储(缓存)
Tile Entity(Expand),方块实体
Tile Entity (Data) Update Detector(DUD/TEUD)(同CUD),方块实体更新检测器
Tile Tick Priority(ttp),计划刻优先级
Transcoder,转码器
Unloader,拆包机
Unstackable Filter(Unstackable Sparator),不可堆叠分离
Unstackable Sorter,不可堆叠分类
User Interface(UI),用户面板
Variable(var),自适应的
Variable Loader,自适应打包机
Wanker(同Keygen),物盒分离(潜影盒取样器)
X Wide Tileable,X宽堆叠
X Wide AB Tileable,X宽ab堆叠
(Cart) Yeeter,"矿车卸货机(烧车),方块事件叫Block Event，简称BE"
BE的全称是Black Event,BE的全称是Block Event
二进制解码器,二进制解码器分别有crain，floppy和dreams
关于十六和二进制解码器,二进制和十六进制并不相等
Appendix/专有名词解释,"# 专有名词解释

## 概述

本章旨在详细讲解以帮助读者理解GTMC中出现的各种专用词汇。

## 目录

- [#00](./00-专有名词解释.md) 导论
- [#01](./01-栈.md) 栈的概念"
